run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01,issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01,E0,1,enzyme_like_fold,medium,standard,single_trajectory,DONE,DONE,2026-04-22T01:31:47+00:00,2026-04-22T01:36:04+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02,issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02,E0,2,enzyme_like_fold,medium,standard,single_trajectory,DONE,DONE,2026-04-22T01:36:04+00:00,2026-04-22T01:40:32+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_enzyme_like_fold_r02_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01,issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01,E0,1,binding_scaffold,hard,high_cost_sensitive,single_trajectory,DONE,DONE,2026-04-22T01:40:32+00:00,2026-04-22T01:45:31+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_binding_scaffold_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01,issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01,E0,1,high_solubility,easy,low_cost_first,single_trajectory,DONE,DONE,2026-04-22T01:45:31+00:00,2026-04-22T01:50:40+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02,issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02,E0,2,high_solubility,easy,low_cost_first,single_trajectory,DONE,DONE,2026-04-22T01:50:40+00:00,2026-04-22T01:55:15+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_high_solubility_r02_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01,issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01,E0,1,secondary_balance,medium,standard,single_trajectory,DONE,DONE,2026-04-22T01:55:15+00:00,2026-04-22T01:59:36+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r01_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02,issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02,E0,2,secondary_balance,medium,standard,single_trajectory,DONE,DONE,2026-04-22T01:59:36+00:00,2026-04-22T02:03:53+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02.jsonl,output/reports/issue172-live-minimax-m27-tunnel-r3_E0_secondary_balance_r02_denovo.md,issue199-platform-freeze-20260412,,
issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01,issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01,E1,1,enzyme_like_fold,medium,standard,multi_branch_selection,FAILED,FAILED,2026-04-22T02:03:53+00:00,2026-04-22T02:03:56+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r01.jsonl,,issue199-platform-freeze-20260412,,"Exception: LLM API 调用失败: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'overloaded_error (529)'}, 'request_id': '06375f8ce3018ecdac2f9134d67add6c'}"
issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02,issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02,E1,2,enzyme_like_fold,medium,standard,multi_branch_selection,FAILED,FAILED,2026-04-22T02:03:56+00:00,2026-04-22T02:03:59+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E1_enzyme_like_fold_r02.jsonl,,issue199-platform-freeze-20260412,,"Exception: LLM API 调用失败: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'overloaded_error (529)'}, 'request_id': '06375f8f074aff353c9e4fb0896e9add'}"
issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01,issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01,E1,1,binding_scaffold,hard,high_cost_sensitive,multi_branch_selection,FAILED,FAILED,2026-04-22T02:03:59+00:00,2026-04-22T02:04:28+00:00,output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-m27-tunnel-r3/run_configs/issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01.json,data/logs/issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-m27-tunnel-r3_E1_binding_scaffold_r01.jsonl,,issue199-platform-freeze-20260412,,"Exception: LLM API 调用失败: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'overloaded_error (529)'}, 'request_id': '06375fac4da857ea907d9ea01858daaf'}"
